id,h5pactivityid,userid,timecreated,timemodified,attempt,rawscore,maxscore,scaled,duration,completion,success
53,50,29591,1651819279,1651819280,1,20,33,0.60606,638,1,0
54,50,29613,1651819415,1651819415,1,9,33,0.27273,527,1,0
55,1,29590,1651819437,1651819437,1,5,5,1.00000,143,1,1
56,50,29617,1651819467,1651819467,1,7,33,0.21212,420,1,0
57,50,29625,1651819620,1651819621,1,4,33,0.12121,287,1,0
58,48,29598,1651819658,1651819658,1,2,7,0.28571,62,1,0
59,50,29621,1651819668,1651819668,1,23,33,0.69697,266,1,0
60,50,29622,1651819672,1651819672,1,10,33,0.30303,438,1,0
61,50,29624,1651819691,1651819691,1,31,33,0.93939,367,1,0
62,1,29598,1651819718,1651819718,1,5,5,1.00000,30,1,1
63,1,29579,1651819735,1651819735,1,5,5,1.00000,44,1,1
64,3,29598,1651819958,1651819958,1,6,6,1.00000,82,1,1
65,16,29598,1651820007,1651820007,1,6,6,1.00000,34,1,1
66,1,29596,1651820178,1651820178,1,5,5,1.00000,30,1,1
67,23,29598,1651820184,1651820184,1,4,4,1.00000,36,1,1
68,1,29596,1651820279,1651820279,2,5,5,1.00000,18,1,1
69,19,29598,1651820288,1651820288,1,9,9,1.00000,68,1,1
70,18,29598,1651820339,1651820339,1,4,4,1.00000,21,1,1
71,2,29596,1651820356,1651820356,1,5,5,1.00000,31,1,1
72,16,29598,1651820393,1651820393,2,6,6,1.00000,25,1,1
73,3,29596,1651820481,1651820481,1,6,6,1.00000,61,1,1
74,15,29579,1651820770,1651820770,1,0,5,0.00000,181,1,0
75,50,29630,1651820821,1651820822,1,31,33,0.93939,536,1,0
76,14,29596,1651820937,1651820937,1,5,5,1.00000,23,1,1
77,15,29596,1651821040,1651821040,1,5,5,1.00000,22,1,1
78,1,29584,1651821055,1651821055,1,5,5,1.00000,60,1,1
79,50,29644,1651823827,1651823827,1,25,33,0.75758,355,1,0
80,50,29644,1651824055,1651824055,2,31,33,0.93939,583,1,0
81,50,29644,1651824426,1651824427,3,33,33,1.00000,219,1,1
82,50,29683,1651825481,1651825481,1,22,33,0.66667,359,1,0
83,50,29688,1651825753,1651825754,1,32,33,0.96970,306,1,0
85,50,29688,1651825981,1651825981,2,33,33,1.00000,142,1,1
86,53,29688,1651826165,1651826165,1,33,33,1.00000,148,1,1
87,3,29688,1651826334,1651826334,1,6,6,1.00000,37,1,1
88,1,29688,1651826380,1651826380,1,5,5,1.00000,22,1,1
91,53,29700,1651827245,1651827245,1,28,33,0.84848,267,1,0
92,53,29700,1651827481,1651827481,2,31,33,0.93939,503,1,0
93,53,29700,1651827645,1651827646,3,33,33,1.00000,667,1,1
94,1,29786,1651828457,1651828457,1,5,5,1.00000,19,1,1
95,50,29784,1651829089,1651829089,1,24,33,0.72727,495,1,0
96,50,29793,1651829247,1651829247,1,33,33,1.00000,315,1,1
97,50,29784,1651829294,1651829294,2,32,33,0.96970,700,1,0
98,1,29793,1651829628,1651829628,1,5,5,1.00000,19,1,1
99,1,29793,1651829662,1651829662,2,5,5,1.00000,18,1,1
100,50,29845,1651831711,1651831711,1,29,33,0.87879,678,1,0
101,50,29845,1651832085,1651832085,2,32,33,0.96970,1052,1,0
102,29,29786,1651832891,1651832891,1,9,9,1.00000,66,1,1
103,3,29794,1651832951,1651832951,1,6,6,1.00000,24,1,1
104,22,29794,1651833086,1651833086,1,4,6,0.66667,21,1,0
105,22,29794,1651833104,1651833104,2,6,6,1.00000,38,1,1
106,50,29888,1651833149,1651833149,1,30,33,0.90909,361,1,0
107,25,29794,1651833166,1651833166,1,7,9,0.77778,37,1,0
108,25,29794,1651833194,1651833194,2,9,9,1.00000,65,1,1
109,50,29889,1651833258,1651833258,1,31,33,0.93939,567,1,0
110,50,29907,1651833788,1651833789,1,27,33,0.81818,425,1,0
111,50,29851,1651833788,1651833789,1,24,33,0.72727,706,1,0
112,50,29907,1651833998,1651833999,2,29,33,0.87879,635,1,0
113,50,29907,1651834127,1651834128,3,33,33,1.00000,764,1,1
114,50,29910,1651834187,1651834187,1,31,33,0.93939,287,1,0
115,50,29886,1651834569,1651834569,1,32,33,0.96970,605,1,0
116,50,29886,1651834852,1651834852,2,32,33,0.96970,248,1,0
117,50,29931,1651835053,1651835053,1,31,33,0.93939,490,1,0
118,53,29839,1651835246,1651835247,1,28,33,0.84848,568,1,0
119,50,29949,1651835539,1651835539,1,29,33,0.87879,246,1,0
120,53,29964,1651836074,1651836075,1,26,33,0.78788,372,1,0
121,53,29964,1651836254,1651836255,2,28,33,0.84848,129,1,0
122,50,29953,1651836573,1651836574,1,30,33,0.90909,342,1,0
123,50,29981,1651836950,1651836950,1,31,33,0.93939,541,1,0
124,50,29989,1651837373,1651837373,1,30,33,0.90909,727,1,0
125,50,30002,1651837591,1651837592,1,25,33,0.75758,340,1,0
126,50,30002,1651837760,1651837760,2,31,33,0.93939,509,1,0
127,50,30034,1651838874,1651838875,1,32,33,0.96970,301,1,0
128,50,29633,1651839076,1651839077,1,20,33,0.60606,403,1,0
129,50,30066,1651839751,1651839751,1,21,33,0.63636,390,1,0
130,50,30095,1651840821,1651840822,1,31,33,0.93939,275,1,0
131,50,30117,1651842303,1651842303,1,30,33,0.90909,299,1,0
132,50,30156,1651842478,1651842478,1,16,33,0.48485,391,1,0
133,50,30117,1651842541,1651842542,2,33,33,1.00000,147,1,1
134,1,30202,1651842788,1651842788,1,5,5,1.00000,30,1,1
135,50,30180,1651842912,1651842912,1,29,33,0.87879,203,1,0
136,50,30188,1651842987,1651842987,1,29,33,0.87879,470,1,0
137,1,30190,1651843109,1651843109,1,5,5,1.00000,28,1,1
138,50,30192,1651843192,1651843192,1,32,33,0.96970,427,1,0
139,50,29679,1651843722,1651843722,1,28,33,0.84848,309,1,0
140,53,30117,1651843812,1651843813,1,33,33,1.00000,163,1,1
141,50,30217,1651843837,1651843838,1,32,33,0.96970,226,1,0
142,50,30257,1651844432,1651844432,1,22,33,0.66667,503,1,0
143,50,30302,1651844604,1651844604,1,26,33,0.78788,362,1,0
144,50,30291,1651844754,1651844755,1,31,33,0.93939,482,1,0
145,50,30254,1651845049,1651845049,1,31,33,0.93939,985,1,0
146,50,30323,1651845241,1651845242,1,30,33,0.90909,506,1,0
147,50,30320,1651845415,1651845415,1,30,33,0.90909,483,1,0
148,50,30323,1651845437,1651845437,2,33,33,1.00000,702,1,1
149,50,30320,1651845793,1651845793,2,31,33,0.93939,857,1,0
150,50,30320,1651846057,1651846057,3,33,33,1.00000,1126,1,1
151,50,30390,1651846170,1651846170,1,29,33,0.87879,494,1,0
152,50,29435,1651846210,1651846210,1,32,33,0.96970,853,1,0
153,1,30097,1651846334,1651846334,1,5,5,1.00000,44,1,1
154,50,30392,1651846655,1651846655,1,32,33,0.96970,312,1,0
155,50,30444,1651847251,1651847251,1,32,33,0.96970,714,1,0
156,50,30457,1651847307,1651847308,1,27,33,0.81818,323,1,0
157,50,29691,1651847501,1651847501,1,17,33,0.51515,212,1,0
158,50,30485,1651847572,1651847572,1,23,33,0.69697,329,1,0
159,50,30538,1651848470,1651848471,1,31,33,0.93939,296,1,0
160,50,30530,1651848531,1651848531,1,30,33,0.90909,298,1,0
161,50,30495,1651848566,1651848567,1,22,33,0.66667,294,1,0
162,50,30521,1651848608,1651848608,1,32,33,0.96970,832,1,0
163,50,30495,1651849012,1651849012,2,23,33,0.69697,392,1,0
164,50,30634,1651849090,1651849091,1,27,33,0.81818,432,1,0
165,50,30631,1651849436,1651849436,1,24,33,0.72727,636,1,0
166,50,30457,1651849532,1651849533,2,32,33,0.96970,255,1,0
167,50,30495,1651849535,1651849535,3,28,33,0.84848,121,1,0
168,50,30631,1651849864,1651849864,2,27,33,0.81818,387,1,0
169,50,30653,1651849935,1651849935,1,27,33,0.81818,743,1,0
170,50,30631,1651850174,1651850175,3,27,33,0.81818,699,1,0
171,50,30711,1651851004,1651851005,1,27,33,0.81818,763,1,0
172,50,30782,1651851387,1651851387,1,30,33,0.90909,253,1,0
173,50,30711,1651851601,1651851602,2,32,33,0.96970,259,1,0
174,50,30787,1651851604,1651851605,1,30,33,0.90909,295,1,0
175,50,30782,1651851662,1651851662,2,32,33,0.96970,99,1,0
176,2,30202,1651852480,1651852480,1,5,5,1.00000,28,1,1
177,3,30202,1651852539,1651852539,1,6,6,1.00000,32,1,1
178,1,30848,1651852574,1651852574,1,0,5,0.00000,45,1,0
179,29,30841,1651852662,1651852662,1,9,9,1.00000,161,1,1
180,50,30847,1651852787,1651852787,1,28,33,0.84848,243,1,0
181,50,30858,1651852988,1651852989,1,33,33,1.00000,177,1,1
182,53,30858,1651853161,1651853161,1,33,33,1.00000,110,1,1
183,21,30916,1651854083,1651854083,1,4,4,1.00000,48,1,1
184,1,30916,1651854252,1651854252,1,5,5,1.00000,28,1,1
185,2,30916,1651854310,1651854310,1,5,5,1.00000,31,1,1
186,3,30916,1651854353,1651854353,1,6,6,1.00000,32,1,1
188,50,30929,1651855099,1651855099,1,33,33,1.00000,608,1,1
189,50,30343,1651855220,1651855220,1,32,33,0.96970,258,1,0
190,2,30929,1651855291,1651855291,1,5,5,1.00000,55,1,1
191,50,30948,1651856158,1651856158,1,32,33,0.96970,682,1,0
192,1,30863,1651856591,1651856591,1,1,5,0.20000,63,1,0
193,1,30863,1651856613,1651856613,2,5,5,1.00000,85,1,1
194,2,30863,1651856700,1651856700,1,5,5,1.00000,38,1,1
195,50,30417,1651856926,1651856926,1,29,33,0.87879,480,1,0
197,50,29381,1651858693,1651858693,1,29,33,0.87879,449,1,0
198,50,31084,1651865421,1651865421,1,29,33,0.87879,310,1,0
199,50,31093,1651882341,1651882341,1,31,33,0.93939,791,1,0
200,50,31096,1651883694,1651883694,1,31,33,0.93939,400,1,0
201,50,31099,1651884495,1651884495,1,29,33,0.87879,344,1,0
202,50,29818,1651884578,1651884579,1,31,33,0.93939,344,1,0
203,53,31099,1651885053,1651885053,1,31,33,0.93939,222,1,0
204,50,30602,1651885741,1651885741,1,32,33,0.96970,141,1,0
205,50,31122,1651888372,1651888372,1,31,33,0.93939,328,1,0
206,50,31222,1651898402,1651898402,1,30,33,0.90909,1129,1,0
207,50,31303,1651899856,1651899856,1,15,33,0.45455,116,1,0
208,1,31303,1651900120,1651900120,1,5,5,1.00000,120,1,1
209,2,31303,1651900224,1651900224,1,5,5,1.00000,71,1,1
210,1,31307,1651900332,1651900333,1,5,5,1.00000,142,1,1
211,3,31303,1651900374,1651900374,1,6,6,1.00000,129,1,1
212,50,31302,1651900476,1651900477,1,31,33,0.93939,903,1,0
213,1,29605,1651900504,1651900504,1,5,5,1.00000,97,1,1
214,1,31308,1651900522,1651900522,1,5,5,1.00000,51,1,1
215,1,31307,1651900643,1651900643,2,5,5,1.00000,34,1,1
216,2,29605,1651900687,1651900687,1,5,5,1.00000,24,1,1
217,50,31313,1651900817,1651900817,1,20,33,0.60606,440,1,0
218,2,31307,1651900830,1651900830,1,5,5,1.00000,125,1,1
219,1,31314,1651900866,1651900866,1,5,5,1.00000,59,1,1
220,3,31307,1651900917,1651900917,1,6,6,1.00000,65,1,1
221,2,31314,1651901021,1651901021,1,5,5,1.00000,34,1,1
222,14,29596,1651901061,1651901061,2,5,5,1.00000,31,1,1
223,50,31320,1651901064,1651901065,1,21,33,0.63636,511,1,0
224,1,29579,1651901075,1651901075,2,5,5,1.00000,48,1,1
225,1,29600,1651901076,1651901076,1,5,5,1.00000,65,1,1
226,15,29596,1651901107,1651901107,2,5,5,1.00000,29,1,1
227,14,31307,1651901117,1651901117,1,5,5,1.00000,66,1,1
228,50,31316,1651901147,1651901147,1,14,33,0.42424,567,1,0
229,2,29579,1651901161,1651901161,1,5,5,1.00000,35,1,1
230,14,29605,1651901186,1651901186,1,3,5,0.60000,29,1,0
231,16,29596,1651901187,1651901188,1,6,6,1.00000,52,1,1
232,50,31306,1651901197,1651901198,1,30,33,0.90909,701,1,0
233,2,29600,1651901198,1651901198,1,5,5,1.00000,46,1,1
234,15,31307,1651901215,1651901215,1,5,5,1.00000,59,1,1
235,50,31317,1651901277,1651901277,1,31,33,0.93939,807,1,0
236,17,29596,1651901290,1651901290,1,4,4,1.00000,48,1,1
237,15,29605,1651901312,1651901312,1,5,5,1.00000,20,1,1
238,3,29600,1651901328,1651901328,1,6,6,1.00000,81,1,1
239,18,29596,1651901334,1651901334,1,4,4,1.00000,19,1,1
240,16,29605,1651901351,1651901351,1,6,6,1.00000,23,1,1
241,1,31318,1651901399,1651901399,1,5,5,1.00000,46,1,1
242,17,29605,1651901427,1651901427,1,4,4,1.00000,24,1,1
243,14,29600,1651901455,1651901455,1,2,5,0.40000,63,1,0
244,18,29605,1651901468,1651901468,1,4,4,1.00000,18,1,1
245,1,31318,1651901469,1651901469,2,5,5,1.00000,24,1,1
246,50,31329,1651901481,1651901481,1,29,33,0.87879,454,1,0
247,19,29596,1651901515,1651901515,1,9,9,1.00000,157,1,1
248,15,29579,1651901516,1651901516,2,5,5,1.00000,33,1,1
249,19,29605,1651901535,1651901535,1,9,9,1.00000,47,1,1
250,2,31318,1651901538,1651901538,1,5,5,1.00000,24,1,1
251,20,29596,1651901551,1651901551,1,4,4,1.00000,16,1,1
252,50,31325,1651901557,1651901557,1,26,33,0.78788,683,1,0
253,20,29605,1651901568,1651901568,1,4,4,1.00000,15,1,1
254,21,29596,1651901590,1651901590,1,4,4,1.00000,21,1,1
255,3,31318,1651901593,1651901593,1,6,6,1.00000,36,1,1
256,21,29605,1651901618,1651901618,1,4,4,1.00000,18,1,1
257,15,29600,1651901623,1651901623,1,5,5,1.00000,113,1,1
258,17,29579,1651901668,1651901668,1,4,4,1.00000,46,1,1
259,22,29596,1651901695,1651901695,1,6,6,1.00000,61,1,1
260,29,31318,1651901717,1651901717,1,9,9,1.00000,48,1,1
261,22,29605,1651901726,1651901726,1,6,6,1.00000,36,1,1
262,23,29596,1651901738,1651901738,1,4,4,1.00000,19,1,1
263,24,29596,1651901774,1651901774,1,5,5,1.00000,22,1,1
264,1,31313,1651901784,1651901785,1,5,5,1.00000,27,1,1
265,1,31313,1651901807,1651901807,2,5,5,1.00000,13,1,1
266,30,31318,1651901809,1651901809,1,8,8,1.00000,35,1,1
268,1,31325,1651903053,1651903053,1,5,5,1.00000,192,1,1
269,15,31303,1651903308,1651903308,1,5,5,1.00000,40,1,1
270,37,31321,1651903321,1651903321,1,8,8,1.00000,58,1,1
271,30,31325,1651903346,1651903346,1,8,8,1.00000,79,1,1
272,31,31318,1651903434,1651903434,1,6,6,1.00000,41,1,1
273,3,31303,1651903464,1651903464,2,6,6,1.00000,122,1,1
274,32,31318,1651903511,1651903511,1,7,7,1.00000,37,1,1
275,31,31325,1651903647,1651903647,1,4,6,0.66667,70,1,0
276,16,31307,1651903681,1651903681,1,6,6,1.00000,88,1,1
277,33,31318,1651903698,1651903698,1,8,8,1.00000,44,1,1
278,17,31307,1651903722,1651903722,1,4,4,1.00000,21,1,1
279,50,31368,1651903724,1651903724,1,13,33,0.39394,221,1,0
280,34,31318,1651903754,1651903754,1,7,7,1.00000,33,1,1
281,32,31325,1651903782,1651903782,1,7,7,1.00000,16,1,1
282,3,31307,1651903790,1651903790,2,6,6,1.00000,31,1,1
283,36,31318,1651903854,1651903854,1,8,8,1.00000,50,1,1
284,2,31307,1651903866,1651903866,2,5,5,1.00000,20,1,1
285,15,31314,1651903869,1651903869,1,5,5,1.00000,49,1,1
286,41,31321,1651903881,1651903881,1,10,10,1.00000,126,1,1
287,37,31318,1651903903,1651903903,1,8,8,1.00000,31,1,1
288,16,31314,1651903933,1651903933,1,6,6,1.00000,45,1,1
289,20,31307,1651903980,1651903980,1,4,4,1.00000,48,1,1
290,38,31318,1651903995,1651903995,1,8,10,0.80000,66,1,0
291,23,31321,1651904039,1651904039,1,4,4,1.00000,24,1,1
292,38,31318,1651904048,1651904048,2,10,10,1.00000,124,1,1
293,18,31307,1651904068,1651904069,1,4,4,1.00000,50,1,1
294,18,31314,1651904101,1651904101,1,4,4,1.00000,44,1,1
295,25,31321,1651904104,1651904104,1,9,9,1.00000,51,1,1
296,22,31318,1651904122,1651904122,1,6,6,1.00000,37,1,1
297,19,31314,1651904196,1651904196,1,9,9,1.00000,77,1,1
298,25,31318,1651904200,1651904200,1,9,9,1.00000,52,1,1
299,27,31318,1651904260,1651904260,1,8,8,1.00000,30,1,1
300,25,31324,1651904298,1651904298,1,9,9,1.00000,95,1,1
301,21,31307,1651904389,1651904389,1,4,4,1.00000,63,1,1
302,20,31314,1651904389,1651904389,1,4,4,1.00000,28,1,1
303,1,31368,1651904407,1651904407,1,5,5,1.00000,29,1,1
304,26,31324,1651904411,1651904411,1,9,9,1.00000,80,1,1
305,2,31368,1651904454,1651904454,1,5,5,1.00000,28,1,1
306,22,31314,1651904503,1651904503,1,6,6,1.00000,35,1,1
307,39,31318,1651904515,1651904515,1,8,8,1.00000,58,1,1
308,3,31368,1651904518,1651904518,1,6,6,1.00000,50,1,1
309,23,31314,1651904561,1651904561,1,4,4,1.00000,26,1,1
310,37,31325,1651904588,1651904588,1,8,8,1.00000,77,1,1
311,41,31318,1651904605,1651904605,1,10,10,1.00000,65,1,1
312,24,31314,1651904624,1651904624,1,5,5,1.00000,25,1,1
313,28,31324,1651904692,1651904692,1,8,8,1.00000,71,1,1
314,43,31318,1651904694,1651904694,1,8,8,1.00000,50,1,1
315,31,31324,1651904784,1651904784,1,6,6,1.00000,56,1,1
316,46,31318,1651904807,1651904807,1,10,10,1.00000,56,1,1
317,1,31385,1651904833,1651904833,1,5,5,1.00000,63,1,1
318,23,29605,1651904852,1651904852,1,4,4,1.00000,34,1,1
319,47,31325,1651904900,1651904900,1,8,8,1.00000,75,1,1
320,24,29605,1651904905,1651904905,1,5,5,1.00000,22,1,1
321,50,29762,1651904999,1651904999,1,28,33,0.84848,411,1,0
322,23,29605,1651905011,1651905011,2,4,4,1.00000,17,1,1
323,24,29605,1651905088,1651905088,2,5,5,1.00000,22,1,1
324,2,31385,1651905096,1651905096,1,5,5,1.00000,239,1,1
325,18,29598,1651905117,1651905117,2,4,4,1.00000,70,1,1
326,29,31385,1651905197,1651905197,1,9,9,1.00000,76,1,1
327,50,31307,1651905238,1651905238,1,25,33,0.75758,636,1,0
328,3,29598,1651905387,1651905387,2,6,6,1.00000,227,1,1
329,50,30449,1651905396,1651905397,1,29,33,0.87879,326,1,0
330,14,31318,1651905406,1651905406,1,5,5,1.00000,43,1,1
331,17,29598,1651905461,1651905461,1,4,4,1.00000,53,1,1
332,50,31375,1651905476,1651905476,1,31,33,0.93939,771,1,0
333,3,31318,1651905533,1651905533,2,6,6,1.00000,30,1,1
334,48,30449,1651905546,1651905546,1,3,7,0.42857,62,1,0
335,48,30449,1651905592,1651905593,2,5,7,0.71429,109,1,0
336,53,31325,1651905616,1651905617,1,28,33,0.84848,556,1,0
337,48,30449,1651905631,1651905631,3,6,7,0.85714,147,1,0
338,29,30449,1651905732,1651905732,1,7,9,0.77778,40,1,0
339,42,31324,1651905733,1651905733,1,10,10,1.00000,42,1,1
340,2,31325,1651905745,1651905745,1,5,5,1.00000,46,1,1
341,29,30449,1651905753,1651905753,2,9,9,1.00000,61,1,1
342,30,30449,1651905794,1651905794,1,8,8,1.00000,29,1,1
343,3,31325,1651905801,1651905801,1,6,6,1.00000,35,1,1
344,31,30449,1651905849,1651905849,1,6,6,1.00000,25,1,1
345,14,31325,1651905882,1651905882,1,5,5,1.00000,58,1,1
346,16,31325,1651905943,1651905943,1,6,6,1.00000,43,1,1
348,32,30449,1651906154,1651906154,1,7,7,1.00000,26,1,1
351,1,30449,1651906334,1651906334,1,5,5,1.00000,29,1,1
352,53,30449,1651906903,1651906903,1,29,33,0.87879,295,1,0
353,50,31085,1651907090,1651907090,1,29,33,0.87879,137,1,0
354,50,31435,1651908409,1651908409,1,33,33,1.00000,926,1,1
355,50,31376,1651909197,1651909197,1,25,33,0.75758,540,1,0
357,50,29630,1651909677,1651909678,2,32,33,0.96970,380,1,0
358,50,29630,1651909994,1651909994,3,32,33,0.96970,265,1,0
359,1,31059,1651910109,1651910109,1,5,5,1.00000,63,1,1
360,50,29630,1651910237,1651910237,4,32,33,0.96970,509,1,0
361,29,31565,1651910930,1651910930,1,3,9,0.33333,35,1,0
362,29,31565,1651910978,1651910978,2,9,9,1.00000,83,1,1
363,50,31582,1651912287,1651912287,1,29,33,0.87879,352,1,0
364,53,31578,1651912818,1651912818,1,32,33,0.96970,417,1,0
366,1,29970,1651913968,1651913968,1,3,5,0.60000,28,1,0
367,1,29970,1651913995,1651913995,2,3,5,0.60000,54,1,0
368,1,29970,1651914021,1651914021,3,5,5,1.00000,81,1,1
369,50,31713,1651915719,1651915719,1,32,33,0.96970,389,1,0
370,50,31716,1651915975,1651915975,1,28,33,0.84848,556,1,0
371,50,31730,1651916582,1651916582,1,29,33,0.87879,226,1,0
372,50,31742,1651917256,1651917257,1,30,33,0.90909,386,1,0
373,50,31763,1651918261,1651918261,1,31,33,0.93939,339,1,0
374,50,31769,1651919262,1651919262,1,32,33,0.96970,301,1,0
375,50,31769,1651919413,1651919414,2,33,33,1.00000,452,1,1
376,50,31884,1651919474,1651919474,1,12,33,0.36364,303,1,0
377,50,31892,1651919647,1651919648,1,32,33,0.96970,316,1,0
378,50,31946,1651919844,1651919844,1,29,33,0.87879,217,1,0
379,53,31946,1651920171,1651920172,1,25,33,0.75758,142,1,0
380,50,30085,1651920252,1651920252,1,29,33,0.87879,222,1,0
381,50,31957,1651920331,1651920331,1,15,33,0.45455,173,1,0
382,53,29839,1651920378,1651920379,2,26,33,0.78788,311,1,0
383,50,31957,1651920966,1651920967,2,25,33,0.75758,219,1,0
384,50,31967,1651921344,1651921345,1,9,33,0.27273,509,1,0
385,50,31969,1651922201,1651922201,1,29,33,0.87879,284,1,0
387,50,29818,1651922489,1651922490,2,33,33,1.00000,229,1,1
388,53,29818,1651922705,1651922705,1,33,33,1.00000,172,1,1
389,50,32001,1651923530,1651923531,1,33,33,1.00000,471,1,1
390,50,32012,1651923675,1651923675,1,29,33,0.87879,229,1,0
391,50,31451,1651923757,1651923757,1,24,33,0.72727,600,1,0
393,50,32001,1651924029,1651924029,2,32,33,0.96970,147,1,0
394,50,32018,1651924330,1651924330,1,27,33,0.81818,403,1,0
395,50,32018,1651924576,1651924576,2,33,33,1.00000,649,1,1
396,50,32011,1651924789,1651924789,1,32,33,0.96970,780,1,0
397,50,30986,1651924929,1651924929,1,8,33,0.24242,374,1,0
398,50,30981,1651925406,1651925406,1,13,33,0.39394,116,1,0
399,50,32003,1651925485,1651925486,1,32,33,0.96970,200,1,0
400,50,31556,1651926224,1651926224,1,33,33,1.00000,262,1,1
401,1,31556,1651926286,1651926286,1,5,5,1.00000,18,1,1
402,50,29324,1651926295,1651926295,2,29,33,0.87879,270,1,0
403,2,31556,1651926339,1651926339,1,5,5,1.00000,18,1,1
404,3,31556,1651926377,1651926377,1,6,6,1.00000,17,1,1
405,50,32060,1651927871,1651927871,1,32,33,0.96970,172,1,0
406,53,32075,1651928133,1651928133,1,31,33,0.93939,236,1,0
408,50,30636,1651928263,1651928263,1,30,33,0.90909,367,1,0
409,50,31690,1651928300,1651928300,1,32,33,0.96970,197,1,0
410,50,30257,1651928597,1651928597,2,21,33,0.63636,154,1,0
411,50,32068,1651928966,1651928966,1,29,33,0.87879,1156,1,0
412,50,32093,1651929510,1651929510,1,28,33,0.84848,313,1,0
413,50,32104,1651930024,1651930024,1,30,33,0.90909,272,1,0
414,50,32096,1651930093,1651930094,1,30,33,0.90909,281,1,0
415,50,32116,1651930760,1651930760,1,26,33,0.78788,451,1,0
416,50,32130,1651930802,1651930803,1,26,33,0.78788,402,1,0
417,50,32124,1651931126,1651931127,1,31,33,0.93939,610,1,0
420,50,32205,1651933241,1651933241,1,27,33,0.81818,290,1,0
421,50,32203,1651933437,1651933437,1,28,33,0.84848,392,1,0
422,50,32203,1651933720,1651933720,2,31,33,0.93939,675,1,0
423,50,32203,1651934115,1651934116,3,33,33,1.00000,197,1,1
424,50,32230,1651934126,1651934127,1,15,33,0.45455,315,1,0
425,50,32225,1651934221,1651934222,1,18,33,0.54545,636,1,0
