"model: gpt 3.5

prompts:
A car travels 90 km/h for 2 hours. How far did it travel in that time?,a) 45 km b) 90 km c) 135 km d) 180 km,d) 180 km,Multiplication,90 x 2,4
"A rectangular box has a length of 15 cm, a width of 10 cm, and a height of 5 cm. What is its volume?",a) 500 cm³ b) 750 cm³ c) 1000 cm³ d) 1500 cm³,b) 750 cm³,Multiplication,15 x 10 x 5,4
"A company has 120 employees, and they need to cut 15% of their workforce. How many employees will be laid off?",a) 12 b) 18 c) 24 d) 36,b) 18,Multiplication,120 x 0.15,4
"A shirt originally costs Rf 50, but it's on sale for 25% off. How much will it cost with the discount?",a) Rf 12.5 b) Rf 25 c) Rf 37.5 d) Rf 42.5,c) Rf 37.5,Multiplication and Subtraction,"Rf 50 x 0.25, Rf 50 - (Rf 50 x 0.25)",4
"A store has a sale, with a discount of 15% off all items. If an item originally costs Rf 75, how much will it cost with the discount?",a) Rf 56.25 b) Rf 63.75 c) Rf 78.75 d) Rf 81.25,b) Rf 63.75,Multiplication and Subtraction,"Rf 75 x 0.15, Rf 75 - (Rf 75 x 0.15)",4
"If a store sells 8 pairs of socks for Rf 20, how much will 2 pairs of socks cost?",a) Rf 2.5 b) Rf 4 c) Rf 5 d) Rf 10,a) Rf 2.5,Multiplication and Division,Rf 20 / 8 x 2,4
"A pizza is cut into 8 equal slices. If 3 slices are eaten, how much of the pizza is left?",a) 25% b) 37.5% c) 50% d) 62.5%,d) 62.5%,Subtraction and Division,"5 slices out of 8, 5 / 8 = 0.625",4
"A company makes a profit of Rf 5000 in a month, and their expenses are Rf 3000. What is their profit margin?",a) 50% b) 60% c) 70% d) 80%,b) 60%,Division,Rf 5000 / Rf 8000,4
A rectangle has a length of 20 cm and a width of 12 cm. What is its perimeter?,a) 32 cm b) 48 cm c) 64 cm d) 80 cm,b) 48 cm,Addition and Multiplication,2 x (20 + 12),4
"If a store sells 2 items for Rf 10, how much will 6 items cost?",a) Rf 15 b) Rf 18 c) Rf 20 d) Rf 30,b) Rf 18,Multiplication and Division,Rf 10 x 6 / 2,4
"A company has a total of 150 employees, and 25% of them are managers. How many managers does the company have?",a) 15 b) 25 c) 35 d) 50,c) 35,Multiplication,150 x 0.25,4
"A jar contains 500 g of candies, and 50 g of candies are eaten. What percentage of the candies is left in the jar?",a) 90% b) 80% c) 70% d) 60%,b) 80%,Subtraction and Division,"450 / 500 = 0.9 = 90%, 100% - 90% = 10%, 100% - 10% = 90%",4
"A company has a total of Rf 10000 in revenue, and their expenses are Rf 6000. What is their profit margin?",a) 30% b) 40% c) 50% d) 60%,b) 40%,Subtraction and Division,(Rf 10000 - Rf 6000) / Rf 10000,4
"If a store sells 5 boxes of pencils for Rf 100, how much will 3 boxes cost?",a) Rf 30 b) Rf 50 c) Rf 60 d) Rf 75,b) Rf 50,Multiplication and Division,Rf 100 / 5 x 3,4
A car travels 120 km/h for 2.5 hours. How far did it travel in that time?,a) 250 km b) 300 km c) 325 km d) 350 km,b) 300 km,Multiplication,120 x 2.5,4
"A company makes a profit of Rf 8000 in a month, and their revenue is Rf 20000. What is their profit margin?",a) 20% b) 30% c) 40% d) 50%,c) 40%,Division,Rf 8000 / Rf 20000,4
"A cake is cut into 12 equal slices. If 4 slices are eaten, how much of the cake is left?",a) 33.3% b) 50% c) 66.6% d) 75%,c) 66.6%,Subtraction and Division,"8 slices out of 12, 8 / 12 = 0.666",4
A rectangle has a length of 25 cm and a width of 15 cm. What is its perimeter?,a) 35 cm b) 50 cm c) 70 cm d) 80 cm,c) 70 cm,Addition and Multiplication,2 x (25 + 15),4
"model: gpt 4

prompts:
1. create a table with the following columns: question, answer choices, answer, calculation, operation 

the questions should have a similar style to this question: ""Ruba buys 5 books for Rf 45 each. How much does she pay to shopkeeper?"" except using a variety of math operations like addition, subtraction, multiplication, and division.

give 4 answer choices, A, B, C, and D

the calculation should show how you got to the answer, WITHOUT the answer in it

2. change the format to have all the answer choices in one cell instead of having a separate row for each answer choice. write the correct answer choice (for example, A. 226) in a separate column to the right",,,,,
Ruba buys 5 books for Rf 45 each. How much does she pay to shopkeeper?,"A. Rf 215, B. Rf 225, C. Rf 235, D. Rf 245",B. Rf 225,Multiplication,5 * 45,
Peter has $120 saved up. He spends $35 on a gift. How much money does he have left?,"A. $85, B. $95, C. $105, D. $115",A. $85,Subtraction,120 - 35,
Sarah has 8 candy bars. She wants to divide them equally among her 4 friends. How many candy bars does each friend get?,"A. 1, B. 2, C. 3, D. 4",B. 2,Division,8 / 4,
"Tom found 12 coins on the beach. Later, he found 18 more. How many coins did he find in total?","A. 25, B. 28, C. 30, D. 35",C. 30,Addition,12 + 18,
A pizza has 16 slices. Each person at the party eats 4 slices. How many people can be served at the party?,"A. 2, B. 3, C. 4, D. 5",C. 4,Division,16 / 4,
